Member_number,Date,itemDescription,Quantity,Tax 5%,Total,Date,Time
1808,21-07-2015,tropical fruit,7,26.1415,548.9715,1/5/2019,13:08
2552,5/1/2015,whole milk,5,3.82,80.22,3/8/2019,10:29
2300,19-09-2015,pip fruit,7,16.2155,340.5255,3/3/2019,13:23
1187,12/12/2015,other vegetables,8,23.288,489.048,1/27/2019,20:33
3037,1/2/2015,whole milk,7,30.2085,634.3785,2/8/2019,10:37
4941,14-02-2015,rolls/buns,7,29.8865,627.6165,3/25/2019,18:30
4501,8/5/2015,other vegetables,6,20.652,433.692,2/25/2019,14:36
3803,23-12-2015,pot plants,10,36.78,772.38,2/24/2019,11:38
2762,20-03-2015,whole milk,2,3.626,76.146,1/10/2019,17:15
4119,12/2/2015,tropical fruit,3,8.226,172.746,2/20/2019,13:27
1340,24-02-2015,citrus fruit,4,2.896,60.816,2/6/2019,18:07
2193,14-04-2015,beef,4,5.102,107.142,3/9/2019,17:03
1997,21-07-2015,frankfurter,5,11.7375,246.4875,2/12/2019,10:25
4546,3/9/2015,chicken,10,21.595,453.495,2/7/2019,16:48
4736,21-07-2015,butter,10,35.69,749.49,3/29/2019,19:21
1959,30-03-2015,fruit/vegetable juice,6,28.116,590.436,1/15/2019,16:19
1974,3/5/2015,packaged fruit/vegetables,7,24.1255,506.6355,3/11/2019,11:03
2421,2/9/2015,chocolate,6,21.783,457.443,1/1/2019,10:39
1513,3/8/2015,specialty bar,3,8.2005,172.2105,1/21/2019,18:00
1905,7/7/2015,other vegetables,2,4.03,84.63,3/11/2019,15:30
2810,8/9/2015,butter milk,5,21.51,451.71,2/25/2019,11:24
2867,12/11/2015,whole milk,3,13.197,277.137,3/5/2019,10:40
3962,18-09-2015,tropical fruit,2,3.32,69.72,3/15/2019,12:20
1088,30-11-2015,tropical fruit,5,8.64,181.44,2/17/2019,11:15
4976,17-07-2015,bottled water,3,13.2945,279.1845,3/2/2019,17:36
4056,12/6/2015,yogurt,8,21.036,441.756,3/22/2019,19:20
3611,13-02-2015,sausage,1,1.676,35.196,2/8/2019,15:31
1420,14-01-2015,other vegetables,2,8.767,184.107,3/10/2019,12:17
4286,8/3/2015,brown bread,5,22.09,463.89,1/25/2019,19:48
4918,27-01-2015,yogurt,9,11.2005,235.2105,3/15/2019,15:36
4783,22-10-2015,hamburger meat,5,23.5325,494.1825,2/25/2019,19:39
3709,26-10-2015,root vegetables,9,35.1315,737.7615,1/28/2019,12:43
4289,8/10/2015,pork,8,33.512,703.752,1/10/2019,14:49
1559,3/10/2015,beef,2,9.658,202.818,3/15/2019,10:12
2900,11/4/2015,pastry,4,19.884,417.564,2/6/2019,10:42
1905,21-02-2015,fruit/vegetable juice,1,3.406,71.526,1/7/2019,12:28
3527,29-09-2015,canned beer,5,15.655,328.755,3/10/2019,19:15
1495,9/1/2015,root vegetables,9,27.396,575.316,1/15/2019,17:17
3558,3/4/2015,citrus fruit,8,21.968,461.328,3/23/2019,13:24
3128,20-04-2015,sausage,8,12.048,253.008,3/3/2019,13:01
1863,4/8/2015,tropical fruit,1,4.336,91.056,1/17/2019,18:45
3841,19-07-2015,berries,2,5.611,117.831,2/2/2019,10:11
3903,6/10/2015,canned beer,6,20.736,435.456,2/8/2019,13:03
2658,16-10-2015,butter milk,8,39.48,829.08,3/4/2019,20:39
4272,6/6/2015,coffee,2,1.537,32.277,3/16/2019,19:47
1120,26-09-2015,pastry,4,18.792,394.632,3/9/2019,18:00
2676,15-08-2015,rolls/buns,9,25.5105,535.7205,2/27/2019,17:24
1697,21-05-2015,misc. beverages,9,9.0045,189.0945,2/6/2019,15:47
2507,25-08-2015,root vegetables,6,5.679,119.259,2/10/2019,12:45
4620,11/3/2015,sausage,10,41.315,867.615,3/19/2019,17:08
3365,1/2/2015,canned beer,7,31.99,671.79,2/3/2019,10:19
2978,5/6/2015,ham,5,11.1475,234.0975,2/10/2019,15:10
2910,28-07-2015,turkey,4,3.574,75.054,3/22/2019,14:42
1061,5/9/2015,whole milk,1,0.7715,16.2015,1/25/2019,15:46
3276,3/4/2015,whole milk,2,1.616,33.936,3/7/2019,11:49
1326,19-06-2015,packaged fruit/vegetables,8,34.392,722.232,2/28/2019,19:01
3023,28-07-2015,rolls/buns,2,4.434,93.114,3/27/2019,11:26
2185,11/10/2015,ham,8,35.84,752.64,2/7/2019,11:28
3552,16-06-2015,rolls/buns,10,36.175,759.675,1/20/2019,15:55
1967,20-01-2015,other vegetables,6,9.183,192.843,3/12/2019,20:36
4708,20-03-2015,sausage,3,3.711,77.931,2/15/2019,17:47
2874,15-02-2015,sausage,6,16.719,351.099,2/24/2019,10:55
4177,13-04-2015,frankfurter,9,24.7815,520.4115,2/3/2019,13:40
1663,7/2/2015,rolls/buns,10,7.905,166.005,3/6/2019,12:27
2632,2/3/2015,whole milk,4,15.148,318.108,2/14/2019,14:35
1377,14-03-2015,curd cheese,10,7.935,166.635,3/13/2019,16:40
4162,22-12-2015,red/blush wine,2,3.347,70.287,2/10/2019,15:43
2270,1/7/2015,sausage,6,29.283,614.943,1/7/2019,15:01
4829,3/11/2015,tropical fruit,10,39.385,827.085,1/24/2019,10:04
3811,14-04-2015,red/blush wine,1,0.9165,19.2465,2/2/2019,18:50
4766,29-09-2015,whole milk,10,44.74,939.54,1/6/2019,12:46
2436,12/4/2015,frankfurter,10,31.06,652.26,2/11/2019,16:19
3860,5/5/2015,whole milk,3,7.278,152.838,3/5/2019,18:17
4875,12/5/2015,frozen potato products,6,22.773,478.233,3/9/2019,18:21
1587,1/7/2015,other vegetables,9,33.6015,705.6315,1/22/2019,10:55
4038,8/7/2015,citrus fruit,10,20.825,437.325,1/13/2019,17:04
4750,21-09-2015,flour,9,22.068,463.428,1/9/2019,14:20
1199,10/12/2015,sugar,9,9.0045,189.0945,1/12/2019,15:48
1603,30-09-2015,frozen meals,10,39.155,822.255,3/5/2019,16:24
3111,31-01-2015,chocolate,5,5.095,106.995,1/22/2019,18:56
3894,13-12-2015,root vegetables,6,29.757,624.897,1/21/2019,14:42
1456,18-09-2015,root vegetables,3,14.502,304.542,1/26/2019,19:56
2022,4/3/2015,herbs,8,7.7,161.7,1/23/2019,18:37
2505,30-11-2015,bottled water,4,16.072,337.512,2/23/2019,18:45
4851,20-12-2015,sausage,5,12.2275,256.7775,3/9/2019,10:17
